id;name;description;start_date;end_date;estimated_duration_days;duration_months;monthly_hours;planned_hours;resource_count;income;other_taxes;description_other_taxes;withholding_taxes;mod_and_cif_costs;gross_profit;gross_profit_percentage;gross_profit_rule;absorbed_fixed_costs;other_expenses;profit_before_tax;estimated_taxes;estimated_net_profit;net_margin_percentage;net_margin_rule;commission_to_receive;needs_approval;approval_decision;approval_date;approval_time;approval_comments;approval_status;created_by;created_date;last_modified_by;last_modified_date
1;contagion;../fake-data/blob/hipster.txt;2024-06-24;2024-06-24;13545;5651;559.49;4431.09;16812;2084.75;24387.37;meh tightly;3103.35;22112.1;22764.15;26435.16;5953.66;29041.65;8611.2;27796.44;32024.97;238.05;16095.22;8082.44;9178.05;true;mysteriously;2024-06-24T11:28:45;2024-06-24T01:24:47;fatally that;glossy actuate unless;unlined;2024-06-24T00:33:01;mid teriyaki gadzooks;2024-06-24T07:14:22
2;since underneath times;../fake-data/blob/hipster.txt;2024-06-24;2024-06-24;24467;8682;10960.87;12124.05;30992;24842.15;20483.39;restfully hmph;22002.55;26873.93;32665.03;20105.47;25155.58;20096.47;32617.35;27682.97;29334.53;15352.07;12689.35;8161.02;20636.29;true;however;2024-06-24T00:42:26;2024-06-23T18:39:11;intently listening sled;claw;continually;2024-06-23T22:06:47;so though of;2024-06-24T05:52:00
3;sensitivity;../fake-data/blob/hipster.txt;2024-06-24;2024-06-24;19666;25360;22031.9;21218.82;13683;1016.88;3929.1;horse ha;8037.4;19946.82;31598.05;11484.23;11990.29;24554.26;28355.99;9600.62;23266.41;14087.74;13701.26;12106.4;20541.73;true;portion chick escape;2024-06-24T06:11:32;2024-06-24T13:38:31;vilify;um indeed;fairly register;2024-06-23T19:38:02;wide-eyed and;2024-06-23T20:47:22
4;painfully quota complete;../fake-data/blob/hipster.txt;2024-06-24;2024-06-24;30737;23724;8755.97;8749.29;22405;21844.95;21477.66;kookily aw;17913.12;23505.6;11489.87;26835.45;29651.74;27208.47;17300.6;13541.33;24315.63;12546.41;25346.31;25436.39;9746.48;false;hmph;2024-06-23T19:14:32;2024-06-24T05:33:50;ordain wherever;scald despite indeed;more disafforest;2024-06-24T02:42:16;stormy;2024-06-24T10:06:33
5;cinder oval defensive;../fake-data/blob/hipster.txt;2024-06-23;2024-06-24;7068;6747;20099.13;24119.01;19898;13537;13721.63;icing;22569.72;1380.1;21306.92;6886.22;26159.82;5368.51;13812.16;18599.15;3410.64;142.9;10036.74;31178.54;26961.33;false;now vainly expansion;2024-06-23T22:56:52;2024-06-23T21:10:23;temple;boldly alongside down;between;2024-06-24T04:51:16;shakily cautiously;2024-06-24T01:14:25
6;jail sans;../fake-data/blob/hipster.txt;2024-06-24;2024-06-23;27122;12945;16769.87;24901.44;26161;27295.48;2261.56;yuck;5983.9;4403.85;14733.64;14367.68;29610.6;8340.45;31141.08;22187.71;12024.8;30654.88;24479.68;9068.44;1246.22;false;accidentally skate jovially;2024-06-23T19:15:06;2024-06-23T16:41:23;smooth;pfft poised;silver great-grandmother squelch;2024-06-23T21:45:44;as lest;2024-06-23T17:54:28
7;oof loyally solemnly;../fake-data/blob/hipster.txt;2024-06-23;2024-06-23;15446;19195;5485.63;16405.35;6553;3775.49;8597.85;connive;14073.22;32246.46;23377.38;29662.59;21422.6;21301.57;9657.39;24264.18;13512.47;19727.55;12151.67;14071.37;15223.44;false;beneath;2024-06-24T10:50:06;2024-06-24T14:00:11;aside woot;kissingly;amongst;2024-06-23T18:18:34;ack wilted;2024-06-24T14:07:53
8;phooey but;../fake-data/blob/hipster.txt;2024-06-24;2024-06-24;1224;4926;1509.87;9994.16;23882;6164.69;16714;consequently proffer;12354.05;13387.92;26154.11;197.15;21533.41;7154.85;28766.97;26433.26;32254.45;3682.68;12730.44;1808.13;26089.89;true;purify;2024-06-24T10:46:18;2024-06-24T01:10:05;ethical;bandage aside;confused soulful schmooze;2024-06-23T16:40:17;why which;2024-06-23T16:57:17
9;thankfully;../fake-data/blob/hipster.txt;2024-06-24;2024-06-23;11628;9475;8042.01;32708.95;17887;8273.09;31838.76;appertain sough bah;11754.15;11135.69;2777.76;24767.3;30578.3;25743.05;15590.03;29784.07;24690.17;29042.15;26872.61;11551.33;31401.11;false;wrongly bestseller crushing;2024-06-24T09:32:48;2024-06-24T01:59:59;tasty drat;kind;oof;2024-06-24T08:01:25;for;2024-06-24T11:42:01
10;closely react;../fake-data/blob/hipster.txt;2024-06-23;2024-06-23;13938;1537;24200.85;10596.43;13528;5488.36;5752.56;very breadfruit exactly;18373.38;10750.99;10081.93;30553.94;5473.03;16711.72;3323.22;23660.33;11732.83;16122.44;32186.54;29412.85;9722.02;false;obedient toward;2024-06-23T22:59:36;2024-06-23T22:38:43;huzzah nobble joyously;aw;pfft with cod;2024-06-23T17:58:16;headline humming;2024-06-23T18:30:22
