id;name;description;start_date;end_date;estimated_duration_days;duration_months;monthly_hours;planned_hours;resource_count;income;other_taxes;description_other_taxes;withholding_taxes;mod_and_cif_costs;gross_profit;gross_profit_percentage;gross_profit_rule;absorbed_fixed_costs;other_expenses;profit_before_tax;estimated_taxes;estimated_net_profit;net_margin_percentage;net_margin_rule;commission_to_receive;active;created_by;created_date;last_modified_by;last_modified_date
1;upright provided aside;../fake-data/blob/hipster.txt;2024-06-24;2024-06-23;549;1047;14942.3;19606.86;19996;11131.83;24961.04;cuss rudely why;21848.09;14782.52;4320.09;6468.93;12396.37;4342.6;23213.29;16960.18;3806.59;27912.8;10490.18;27053.17;15138.44;true;boohoo slim;2024-06-24T10:41:07;acceptance grumpy;2024-06-23T18:39:20
2;plus;../fake-data/blob/hipster.txt;2024-06-24;2024-06-24;2201;29579;4724.76;27869.78;1829;22905.03;30874.07;device overhear whoever;16674.64;23708.16;7594.55;18842.21;32081.42;22238.19;16042.39;32319.56;13621.01;13758.4;1941.59;270.13;985.61;true;positively suspend inasmuch;2024-06-24T13:46:41;pish;2024-06-23T17:35:08
3;to hm;../fake-data/blob/hipster.txt;2024-06-24;2024-06-24;8596;15157;30902.91;30135.28;1666;665.67;9997.03;daring deliberately;23189.05;24741.09;19182.76;9442.04;16675.35;3979.17;18044.34;32410.34;5041.42;24417.75;15132.6;7034.77;2247.96;true;daring roam schoolhouse;2024-06-24T08:40:51;shore bless;2024-06-24T03:54:37
4;below hence;../fake-data/blob/hipster.txt;2024-06-23;2024-06-23;25136;26282;5570.22;23325.98;13832;20853.25;22223.78;shrilly;31790.21;2418.09;30826.1;17883.19;32121.02;29265.27;13536.29;10710.09;10495.67;3706.06;31855.59;4382.3;29294.77;false;since pish;2024-06-24T05:48:19;weakly carefully though;2024-06-24T09:23:02
5;infest;../fake-data/blob/hipster.txt;2024-06-23;2024-06-24;3021;1680;30942.68;15556.16;20174;31610.34;19539.32;bleakly;4804.42;30078.12;15648.27;5894.41;562.13;9167.63;8339.49;12377.24;11666.66;21862.16;10114.74;31854.82;23531.73;true;given;2024-06-24T08:03:17;ouch pish;2024-06-23T18:21:32
6;for;../fake-data/blob/hipster.txt;2024-06-23;2024-06-24;11867;19711;4952.67;15505.28;8981;8678.53;13045.43;solid;205.04;31822.04;3581.16;6164.72;27332.28;28003.36;31570.4;29494.38;16850.94;525.63;31099.62;8874.59;19055.39;true;billet;2024-06-24T06:16:32;hmph claim;2024-06-23T23:30:58
7;ew;../fake-data/blob/hipster.txt;2024-06-23;2024-06-24;20928;30417;31954.81;26794.9;15299;16350.18;13927.23;regarding fancy;22268.9;29846.92;23208.17;22442.25;15409.24;18421.18;7195.87;14905.76;11334.93;31842.33;2415.54;29202.6;10542.33;false;bah or even;2024-06-24T01:28:42;disafforest;2024-06-23T17:28:02
8;creativity daintily qua;../fake-data/blob/hipster.txt;2024-06-23;2024-06-24;7895;4885;23636.8;18246.67;32002;1553.85;2095.25;complex;12357.18;17837.68;11347.03;7971.66;19425.55;8893.8;31787.23;22117.91;10101.07;5878.25;25677.77;14805.08;22616.35;true;hmph potentially pfft;2024-06-24T12:26:33;though pickax;2024-06-24T14:18:21
9;opposite;../fake-data/blob/hipster.txt;2024-06-24;2024-06-23;13487;27784;9256.89;22473.78;18284;31108.44;27067.25;busily coaxingly menacing;4812.82;13808.84;22227.78;24552.19;32736.19;25726.52;6220.61;18.11;9681.18;10601.5;25813.98;28860.67;14798.26;true;within meh shameless;2024-06-23T22:27:46;even;2024-06-24T10:40:03
10;whether ocelot;../fake-data/blob/hipster.txt;2024-06-24;2024-06-24;4550;1536;29390.2;199.96;20484;17377.46;6775.08;fooey;8211.52;27007;18016.74;31627.07;20982.4;23031.28;26957.61;18991.09;13917.75;20047.87;29769.48;7867.76;22852.12;true;gratefully poorly;2024-06-24T13:51:05;moist almost;2024-06-24T01:20:22
