id;name;active;created_by;created_date;last_modified_by;last_modified_date
1;baste blind;false;as whose whether;2024-06-24T08:22:23;clot whoa modulo;2024-06-24T14:19:50
2;once;false;onset huzzah troop;2024-06-24T01:07:28;around;2024-06-23T23:31:52
3;hmph;false;uphold wildly funny;2024-06-24T02:46:34;before usefully tender;2024-06-23T16:36:59
4;mochi well-documented useful;true;grab gadzooks;2024-06-24T02:05:33;blackbird round;2024-06-23T22:13:19
5;testify;true;frequent;2024-06-24T09:04:31;silently underneath;2024-06-24T01:36:35
6;furthermore;true;brr gorgeous;2024-06-23T17:24:44;whoa;2024-06-24T13:08:12
7;dreamily jungle;false;stunning;2024-06-24T08:43:48;agitated defiantly near;2024-06-24T01:48:00
8;knowledgeably vaporize meh;true;including;2024-06-24T02:20:52;gleeful meh;2024-06-24T08:49:06
9;duh;true;embassy by lest;2024-06-23T17:54:00;voluminous intently;2024-06-23T21:23:02
10;what;true;rib pro salute;2024-06-24T13:17:27;wonderfully respond;2024-06-24T07:29:22
