id;name;value;active;mandatory;created_by;created_date;last_modified_by;last_modified_date
1;per;13656.01;false;false;yowza reunite pfft;2024-06-24T06:24:11;into;2024-06-23T23:21:18
2;ugh infusion;23683.66;true;false;above without duh;2024-06-24T13:59:40;showcase afterwards ouch;2024-06-24T08:39:00
3;macro;12351.15;false;false;whoa solder boohoo;2024-06-23T22:32:09;fluffy for proliferation;2024-06-24T02:46:37
4;yuck dioxide;29760.37;false;true;astride;2024-06-24T04:50:49;hopelessly;2024-06-23T22:53:09
5;through unnaturally;20044.66;false;false;meh;2024-06-24T05:57:30;oof pressure;2024-06-24T03:42:05
6;less;19294.43;false;false;whenever;2024-06-24T02:52:40;facility;2024-06-23T21:39:58
7;palatable;29207.2;true;true;vice brochure terrarium;2024-06-23T22:06:05;excepting;2024-06-24T05:23:59
8;throw alert lacquer;10184.27;false;false;save;2024-06-24T06:02:23;blogger phew;2024-06-23T23:10:14
9;baggy uniform offensive;29482.18;true;true;wrong excluding geez;2024-06-23T14:57:54;before out if;2024-06-23T21:46:17
10;fooey vivaciously;25920.81;true;false;chronicle so;2024-06-23T20:10:06;chinchilla complete happily;2024-06-23T23:05:28
