id;salary;hourly_rate;active;created_by;created_date;last_modified_by;last_modified_date
1;2274.04;21814.82;false;since triumphantly when;2024-06-23T21:55:22;liven bah recording;2024-06-23T15:48:50
2;11468.7;2026.68;true;improbable minority few;2024-06-23T19:10:44;serene until um;2024-06-24T06:30:47
3;5205.19;9411.32;true;why;2024-06-23T18:12:59;yippee pfft;2024-06-23T18:10:11
4;21912.51;8101.32;false;innocently via dual;2024-06-23T20:12:51;without hepatitis fate;2024-06-23T17:37:53
5;1554.14;21076.05;false;reconnoitre absent among;2024-06-24T07:14:34;absentmindedly;2024-06-24T12:27:51
6;7735.48;1667.48;false;composed;2024-06-23T15:07:59;scornful heckle;2024-06-24T09:53:24
7;30087.69;1798.41;true;integer radiosonde afforest;2024-06-24T04:43:10;afore tankful eek;2024-06-24T00:17:08
8;8900.49;17615.45;true;strictly unfortunately;2024-06-23T18:32:33;selfish oh;2024-06-23T18:13:32
9;21304.51;16019.26;false;hence though an;2024-06-24T02:43:14;tired purloin;2024-06-23T22:45:17
10;9663.16;20638.64;true;although infect;2024-06-24T05:29:50;brr as inoculate;2024-06-23T15:25:33
