id;assigned_hours;total_cost;units;capacity;planned_hours;created_by;created_date;last_modified_by;last_modified_date
1;780.25;12149;28861.46;2119.79;18011.11;refrigerate concerning admire;2024-06-24T02:01:38;violet subtract frame;2024-06-23T23:07:23
2;27766.44;27326.88;30248.59;27843.7;24505.75;outrage;2024-06-24T05:50:34;offer arcade;2024-06-24T06:45:47
3;32465.72;22018.36;378.63;6513.69;30430.91;ugh;2024-06-23T16:55:25;adored since;2024-06-23T15:44:44
4;4270.54;2683.21;16275.62;7258.08;13780.51;remonstrate back;2024-06-24T06:06:44;forte individualize traumatise;2024-06-24T12:13:06
5;18166.87;15912.45;14004.24;27216.77;703.29;boxer considering;2024-06-24T09:19:08;lighthearted attached rugby;2024-06-24T10:40:50
6;9333.58;3407.17;14922.68;19321.35;24558.55;while;2024-06-24T13:31:56;maid foolishly hastily;2024-06-24T05:12:10
7;14052.91;30721.89;5416.93;9877.98;3787.4;meanwhile rewrite;2024-06-23T16:36:29;wherever;2024-06-23T20:48:14
8;20628.62;25065.31;28135.8;25230.65;16822.22;apropos quicker;2024-06-23T18:54:03;aching;2024-06-24T01:00:51
9;21295.29;10342.24;28174.79;18568.91;1716.83;overpower;2024-06-24T08:26:45;disparage brr tempting;2024-06-24T09:03:43
10;12142.13;19516.54;7929.2;982.24;15699.31;rudely permission;2024-06-24T06:26:10;but;2024-06-23T20:35:48
